"pathway_id","from_stop_id","to_stop_id","pathway_mode","is_bidirectional","traversal_time","length","stair_count","max_slope","min_width","signposted_as"
"918056","de:11000:900056102::4","000300001054",1,0,44,"61.000000000000",,"","",""
"918055","de:11000:900056102::4","000300001053",1,0,17,"23.000000000000",,"","",""
"918061","de:11000:900056102::4","000300001051",1,0,40,"56.000000000000",,"","",""
"918062","de:11000:900056102::4","000300001052",1,0,38,"53.000000000000",,"","",""
"918053","de:11000:900056102::3","000300001064",1,0,44,"61.000000000000",,"","",""
"918041","de:11000:900056102::3","000300001063",1,0,17,"24.000000000000",,"","",""
"918036","de:11000:900056102::3","000300001061",1,0,40,"56.000000000000",,"","",""
"918039","de:11000:900056102::3","000300001062",1,0,40,"56.000000000000",,"","",""
"917944","de:11000:900056102::2","000300001072",1,0,27,"37.000000000000",,"","",""
"918021","de:11000:900056102::2","000300001079",1,0,47,"65.000000000000",,"","",""
"918019","de:11000:900056102::2","000300001078",1,0,47,"65.000000000000",,"","",""
"917952","de:11000:900056102::2","000300001074",1,0,12,"17.000000000000",,"","",""
"918017","de:11000:900056102::2","000300001075",1,0,29,"40.000000000000",,"","",""
"917948","de:11000:900056102::2","000300001073",1,0,13,"18.000000000000",,"","",""
"917979","de:11000:900056102::2","000300001077",1,0,45,"63.000000000000",,"","",""
"917941","de:11000:900056102::2","de:11000:900056102::6",1,0,9,"12.000000000000",,"","",""
"917960","de:11000:900056102::2","000300001076",1,0,27,"37.000000000000",,"","",""
"917928","de:11000:900056102::1","000300001092",1,0,24,"33.000000000000",,"","",""
"917911","de:11000:900056102::1","000300001093",1,0,8,"11.000000000000",,"","",""
"917907","de:11000:900056102::1","000300001094",1,0,17,"24.000000000000",,"","",""
"917918","de:11000:900056102::1","000300001096",1,0,38,"53.000000000000",,"","",""
"917899","de:11000:900056102::1","de:11000:900056102::5",1,0,11,"15.000000000000",,"","",""
"917904","de:11000:900056102::1","000300001095",1,0,22,"31.000000000000",,"","",""
"917772","000300001009","000300001007",1,0,81,"112.000000000000",,"","",""
"917655","000300001009","000300001008",1,0,51,"71.000000000000",,"","",""
"917791","000300001009","000300001021",1,0,84,"117.000000000000",,"","",""
"917576","000300001009","000300001025",1,0,37,"51.000000000000",,"","",""
"917627","000300001009","000300001022",1,0,66,"92.000000000000",,"","",""
"917579","000300001009","000300001027",1,0,81,"113.000000000000",,"","",""
"917614","000300001009","000300001020",1,0,80,"111.000000000000",,"","",""
"917630","000300001009","000300001023",1,0,76,"105.000000000000",,"","",""
"917577","000300001009","000300001026",1,0,82,"114.000000000000",,"","",""
"917573","000300001009","000300001024",1,0,23,"32.000000000000",,"","",""
"917698","000300001009","000300001010",1,0,155,"215.000000000000",,"","",""
"917773","000300001007","000300001009",1,0,81,"112.000000000000",,"","",""
"917785","000300001007","000300001008",1,0,139,"193.000000000000",,"","",""
"917624","000300001007","000300001021",1,0,42,"58.000000000000",,"","",""
"917779","000300001007","000300001025",1,0,112,"156.000000000000",,"","",""
"917665","000300001007","000300001022",1,0,91,"126.000000000000",,"","",""
"917783","000300001007","000300001027",1,0,157,"218.000000000000",,"","",""
"917775","000300001007","000300001020",1,0,89,"124.000000000000",,"","",""
"917667","000300001007","000300001023",1,0,99,"138.000000000000",,"","",""
"917781","000300001007","000300001026",1,0,158,"219.000000000000",,"","",""
"917777","000300001007","000300001024",1,0,100,"139.000000000000",,"","",""
"917694","000300001007","000300001010",1,0,126,"175.000000000000",,"","",""
"917656","000300001008","000300001009",1,0,51,"71.000000000000",,"","",""
"917784","000300001008","000300001007",1,0,139,"193.000000000000",,"","",""
"917787","000300001008","000300001021",1,0,105,"146.000000000000",,"","",""
"917650","000300001008","000300001025",1,0,58,"81.000000000000",,"","",""
